,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,WindDir {deg},,,,,,,
ETRN,DNI,DHI,Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Dry-Bulb,Dew-Point,Relative Humidity {%},wspd,,,,,,,,,Wind Direction {deg},,,,,,,
1015,5,110,999900,999900,13.9,5,55,3.9,,,,,,,,,127,,,,,,,
931,4,80,999900,999900,13.9,5.5,57,3.3,,,,,,,,,123,,,,,,,
806,3,26,999900,999900,13.9,6.1,59,2.6,,,,,,,,,120,,,,,,,
645,0,0,999900,999900,12.8,6.3,65,2.6,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,11.7,6.5,70,2.6,,,,,,,,,80,,,,,,,
0,0,0,999900,999900,10.6,6.7,77,2.6,,,,,,,,,60,,,,,,,
0,0,0,999900,999900,9.8,6.5,80,2.8,,,,,,,,,77,,,,,,,
0,0,0,999900,999900,9.1,6.3,83,2.9,,,,,,,,,93,,,,,,,
0,0,0,999900,999900,8.3,6.1,86,3.1,,,,,,,,,110,,,,,,,
0,0,0,999900,999900,7.8,5.9,88,3.1,,,,,,,,,113,,,,,,,
0,0,0,999900,999900,7.2,5.8,91,3.1,,,,,,,,,117,,,,,,,
0,0,0,999900,999900,6.7,5.6,93,3.1,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,6.1,5.2,94,3.1,,,,,,,,,113,,,,,,,
0,0,0,999900,999900,5.6,4.8,95,3.1,,,,,,,,,107,,,,,,,
0,0,0,999900,999900,5,4.4,96,3.1,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,4.6,4,96,3.3,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,4.3,3.7,96,3.4,,,,,,,,,100,,,,,,,
0,0,53,999900,999900,3.9,3.3,96,3.6,,,,,,,,,100,,,,,,,
613,489,189,999900,999900,6.7,4.8,88,2.9,,,,,,,,,103,,,,,,,
780,765,199,999900,999900,9.4,6.3,81,2.2,,,,,,,,,107,,,,,,,
912,843,181,999900,999900,12.2,7.8,74,1.5,,,,,,,,,110,,,,,,,
1004,878,135,999900,999900,13.7,7.8,68,1.7,,,,,,,,,147,,,,,,,
1054,876,86,999900,999900,15.2,7.8,61,1.9,,,,,,,,,183,,,,,,,
1058,829,40,999900,999900,16.7,7.8,56,2.1,,,,,,,,,220,,,,,,,
1017,762,0,999900,999900,17.1,7.1,52,2.1,,,,,,,,,207,,,,,,,
933,516,10,999900,999900,17.4,6.3,48,2.1,,,,,,,,,193,,,,,,,
808,176,12,999900,999900,17.8,5.6,45,2.1,,,,,,,,,180,,,,,,,
648,0,0,999900,999900,16.1,5.8,50,1.9,,,,,,,,,190,,,,,,,
0,0,0,999900,999900,14.5,5.9,56,1.7,,,,,,,,,200,,,,,,,
0,0,0,999900,999900,12.8,6.1,64,1.5,,,,,,,,,210,,,,,,,
0,0,0,999900,999900,11.1,5.9,70,2,,,,,,,,,167,,,,,,,
0,0,0,999900,999900,9.5,5.8,78,2.6,,,,,,,,,123,,,,,,,
0,0,0,999900,999900,7.8,5.6,86,3.1,,,,,,,,,80,,,,,,,
0,0,0,999900,999900,7.8,4.7,81,2.4,,,,,,,,,60,,,,,,,
0,0,0,999900,999900,7.8,3.7,75,1.7,,,,,,,,,40,,,,,,,
0,0,0,999900,999900,7.8,2.8,71,1,,,,,,,,,20,,,,,,,
0,0,0,999900,999900,7.1,2.6,73,1.2,,,,,,,,,17,,,,,,,
0,0,0,999900,999900,6.3,2.4,76,1.3,,,,,,,,,13,,,,,,,
0,0,0,999900,999900,5.6,2.2,79,1.5,,,,,,,,,10,,,,,,,
0,0,0,999900,999900,5.4,1.8,78,1.5,,,,,,,,,323,,,,,,,
0,0,0,999900,999900,5.2,1.5,77,1.5,,,,,,,,,277,,,,,,,
0,0,51,999900,999900,5,1.1,76,1.5,,,,,,,,,230,,,,,,,
613,501,175,999900,999900,8.7,-1.2,49,3.2,,,,,,,,,290,,,,,,,
780,675,199,999900,999900,12.4,-3.6,31,5,,,,,,,,,350,,,,,,,
913,788,172,999900,999900,16.1,-6.1,20,6.7,,,,,,,,,50,,,,,,,
1006,764,129,999900,999900,17,-5.4,20,7,,,,,,,,,57,,,,,,,
1055,640,126,999900,999900,18,-4.9,20,7.4,,,,,,,,,63,,,,,,,
1060,482,128,999900,999900,18.9,-4.4,19,7.7,,,,,,,,,70,,,,,,,
1020,149,202,999900,999900,18.9,-4.5,19,7.4,,,,,,,,,70,,,,,,,
935,32,134,999900,999900,18.9,-4.7,19,7,,,,,,,,,70,,,,,,,
811,39,25,999900,999900,18.9,-5,18,6.7,,,,,,,,,70,,,,,,,
650,0,0,999900,999900,18.2,-4.9,19,6.5,,,,,,,,,67,,,,,,,
0,0,0,999900,999900,17.4,-4.9,20,6.4,,,,,,,,,63,,,,,,,
0,0,0,999900,999900,16.7,-5,21,6.2,,,,,,,,,60,,,,,,,
0,0,0,999900,999900,16.3,-5.3,21,6.2,,,,,,,,,57,,,,,,,
0,0,0,999900,999900,16,-5.6,21,6.2,,,,,,,,,53,,,,,,,
0,0,0,999900,999900,15.6,-6.1,21,6.2,,,,,,,,,50,,,,,,,
0,0,0,999900,999900,15.2,-6.2,21,6.4,,,,,,,,,53,,,,,,,
